hasy,startD,repeatVowels,presenceij,presence_dutch_frequent,presence_english_frequent,avgwordlength,startswithAvowel,hasdutch_diphtongs,hasnonEnglish,hasenglish_stopword,hasdutch_stopword,Lang,Length
0,0,1,0,0,1,0,1,1,0,1,0,1,21
1,1,0,0,0,1,0,0,1,1,1,1,0,43
1,1,1,0,0,1,0,0,1,0,1,1,1,24
0,1,0,0,0,0,0,0,1,1,0,1,0,21
1,1,0,0,0,1,0,1,1,0,1,1,0,22
1,0,1,0,0,1,0,0,1,0,1,1,1,26
1,0,0,0,0,1,0,0,1,0,1,1,1,29
0,0,0,0,0,0,0,0,1,1,0,0,0,22
1,0,0,0,0,1,0,0,0,0,1,1,1,21
0,1,0,0,0,1,0,0,1,1,1,1,0,26
1,1,0,0,1,1,0,0,0,0,1,1,1,41
1,1,1,0,1,1,0,0,0,0,1,1,1,24
1,0,1,0,0,1,0,1,1,0,1,1,1,29
0,1,1,0,0,1,0,0,1,1,1,1,0,23
0,1,0,0,0,0,0,0,1,0,0,1,0,21
1,1,1,0,1,1,0,0,1,0,1,1,1,43
1,0,1,0,1,1,0,1,1,0,1,1,1,35
1,1,0,0,0,1,0,0,1,0,1,1,1,27
0,1,1,0,0,1,0,0,1,1,1,1,0,27
0,1,1,0,1,1,0,0,0,0,1,1,1,28
1,0,1,0,1,1,0,0,1,1,1,1,1,33
1,0,0,0,0,1,0,0,1,0,1,1,1,29
0,1,1,0,0,0,0,0,1,1,0,1,0,24
1,0,1,0,0,1,0,1,1,0,1,1,1,21
1,0,0,0,0,1,0,0,1,0,1,0,1,21
1,0,1,0,0,1,0,1,1,0,1,1,1,31
1,1,1,0,1,1,0,0,0,1,1,1,1,24
1,1,1,0,1,1,0,1,1,0,1,1,1,24
1,0,1,0,0,1,0,0,1,0,1,1,1,32
1,1,1,0,1,1,0,0,1,0,1,1,1,32
1,0,1,0,0,1,0,0,1,0,1,1,1,24
0,1,0,0,0,0,0,0,1,1,0,1,0,24
1,0,1,0,1,1,0,0,0,0,1,1,1,21
1,0,1,0,1,1,0,1,1,0,1,1,1,26
1,1,1,0,0,1,0,0,1,0,1,1,1,35
1,1,0,0,0,1,0,0,1,1,1,1,0,35
0,0,0,0,0,1,0,0,0,0,1,1,1,23
1,0,0,0,1,1,0,0,0,0,1,1,1,30
0,0,0,0,0,1,0,0,1,0,1,1,1,30
1,0,1,0,1,1,0,0,1,0,1,1,1,21
1,1,0,0,0,1,0,0,1,0,1,1,1,30
1,0,0,0,1,1,0,1,1,0,1,1,1,27
1,0,1,0,0,1,0,1,1,1,1,0,1,21
1,1,1,0,0,1,0,0,1,0,1,1,1,26
0,1,0,0,0,1,0,0,1,1,1,1,0,30
1,1,0,0,0,1,0,0,0,0,1,1,1,21
1,0,1,0,1,1,0,0,1,0,1,1,1,21
0,1,0,0,0,1,0,1,1,1,1,1,0,25
1,1,0,0,0,1,0,1,1,1,1,1,0,26
1,0,1,0,0,1,0,0,1,0,1,1,1,25
1,1,0,0,1,1,0,0,1,0,1,1,1,41
1,1,0,0,0,1,0,1,1,1,1,1,0,29
0,1,0,0,0,1,0,0,1,1,1,1,0,23
0,1,0,0,0,0,0,0,1,0,1,1,0,25
0,0,1,0,0,1,0,1,1,0,1,1,1,25
1,1,0,0,1,1,0,0,0,1,1,1,1,22
1,1,0,0,0,0,0,0,1,1,0,1,0,28
1,1,1,0,0,1,0,0,1,1,1,1,0,29
1,1,1,0,1,1,0,0,1,0,1,1,1,40
1,1,1,0,1,1,0,0,0,0,1,1,1,29
0,1,0,0,0,1,0,1,1,1,1,1,0,24
1,0,0,0,1,1,0,0,1,0,1,1,1,25
